source_id,source_name,current_cp,recommended_phase,pilot_status
SRC0008,戒珠《净土往生传》,CP1,P1,
SRC0009,王古《新修往生传》,CP1,P1,
SRC0019,莲池《往生集》,CP1,P1,PILOT
SRC0024,《染香集》,CP1,P1,
SRC0025,《净土圣贤录续编》,CP1,P1,
SRC0027,《修西闻见录》,CP1,P1,
SRC0055,杨慧镜《近代往生传》,CP1,P1,
SRC0056,《净土圣贤录三编》,CP1,P1,
SRC0071,林看治《念佛感应见闻记》,CP1,P1,
SRC0075,宽律《近代往生随闻录》,CP1,P1,
SRC0076,《现代往生见闻录》一、二集,CP1,P1,
SRC0086,《念佛感应录》第一集,CP1,P1,
SRC0087,《念佛感应录》第二集,CP1,P1,
SRC0088,《念佛感应录》第三集,CP1,P1,
SRC0089,《念佛感应录》第四集,CP1,P1,
SRC0090,《念佛感应录》第五集,CP1,P1,
SRC0091,《念佛感应录》第六集,CP1,P1,
SRC0092,《念佛感应录》第七集,CP1,P1,
SRC0093,《念佛感应录》第八集,CP1,P1,
SRC0108,东林寺《净土》杂志,CP1,P1,
SRC0110,《当代念佛感应集》,CP1,P1,BACKUP_PILOT
SRC0133,净土宗官网感应故事,CP1,P1,PILOT
SRC0135,东林寺官网／祖庭平台,CP1,P1,
SRC0187,《日本往生極楽記》,CP1,P1,
SRC0189,《拾遺往生伝》,CP1,P1,
SRC0191,《三外往生伝》,CP1,P1,
SRC0311,《莲池海会—念佛往生见闻记》,CP1,P1,
SRC0334,Purelanders — Testimonies,CP1,P1,PILOT
SRC0344,《藏汉平凡人往生极乐世界故事集·引路宝镜》,CP1,P1,PILOT
SRC0386,《现代往生录》系列（雪心编辑室／雪心基金会）,CP1,P1,PILOT
SRC0002,《往生西方净土瑞应传／删传》,CP2,P1/P2,
SRC0004,飞锡《往生净土传》五卷,CP2,P2,HOLD_VERIFY
SRC0022,《西舫汇征》,CP2,P2,
SRC0023,《净土圣贤录》,CP2,P2,
SRC0026,《种莲集》,CP2,P2,
SRC0059,《弘化月刊》,CP2,P2,
SRC0078,《e世纪往生传》,CP2,P2,
SRC0079,《新世代念佛往生录》,CP2,P2,
SRC0082,林慈超《念佛感应记》,CP2,P2,
SRC0094,《念佛癒病（一）》,CP2,P2,
SRC0137,守月亮海外净土网,CP2,P2,
SRC0138,雪心助念团结构化助念事件登记,CP2,P2,
SRC0175,十方圆通寺／道晟法师频道,CP2,P2,
