source_id,source_name,t01_section,selection_status,special_note
SRC0001,净土论,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0002,往生西方净土瑞应传,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0003,往生西方净土瑞应删传,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0004,往生净土传（唐飞锡，五卷）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,佚失／目录著录
SRC0005,并州往生记,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,佚失／引文残存
SRC0006,往生西方略传（宋遵式）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,佚失
SRC0007,往生净土略传（宋清月）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,佚失
SRC0008,净土往生传（宋戒珠）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0009,新修净土往生传／新修往生传（宋王古）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0010,新编古今往生净土宝珠集,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0011,净土往生传（南宋海印，十二卷）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,佚失
SRC0012,随愿往生集／新编随愿往生集,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,中国本土散佚／残存影响材料
SRC0013,东林十八高贤传,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0014,龙舒增广净土文,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0015,乐邦文类,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0016,乐邦遗稿,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0017,庐山莲宗宝鉴,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0018,诸上善人咏,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0019,往生集（明袾宏）,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0020,净土晨钟,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
SRC0021,西归直指,T01-2 Part 1｜中国古代文献来源池,FORMAL_SELECTED,
