source_id,source_name,region,tradition_or_context,source_type,current_role,cp_at_registration,cp_current,ap,date_or_range,key_note,registry_status
SRC0251,正宣寺 寺报《光寿》,日本,本愿寺派／大阪,地方寺报,DISCOVERY,CP1,CP3,AP1,1994-03-01创刊－现在,已确认现代妙好人文章；纸本寺报→官网再刊链,REGISTERED
SRC0252,教念寺《教念寺新报》,日本,本愿寺派／埼玉・新座,地方寺报,DISCOVERY,CP1,,AP2,1992－现在,1992创刊、月刊；后续重标为普通寺报型，最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0253,教念寺《ふうむ》,日本,本愿寺派／埼玉,地方寺报,DISCOVERY,CP2,,AP3,创刊年Unknown；现为春・秋号,与《教念寺新报》不同系列；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0254,善巧寺「寺报」,日本,本愿寺派／富山・黑部,地方寺报,DISCOVERY,CP1,,AP1,1977－现在,季刊、长期数字档案；案例并非主体，最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0255,守纲寺报《清风》,日本,真宗大谷派／爱知・丰田,地方寺报,DISCOVERY,CP1,CP3,AP1,连续50年以上；2025年No.630,已确认现代妙好人、来访者经历、闻法生活等个案,REGISTERED
SRC0256,《愿长寺报》,日本,真宗大谷派／岐阜,地方寺报,DISCOVERY,CP1,CP3,AP4,至少20世纪末以前开始；宗门报道时已169号,已确认住职写入失女、前坊守等信仰经历,REGISTERED
SRC0257,春日山蓮浄寺だより,日本,真宗大谷派／新潟,地方寺报,DISCOVERY,CP2,,AP4,创刊年Unknown；2026年约161号,记录寺院日常、门徒关系、葬仪；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0258,金光寺寺报《慧光》,日本,浄土真宗系／宫崎・五ヶ濑,地方寺报,DISCOVERY,CP1,CP3,AP2,至少2022年第254号；2025年第283号,索引可检出妙好人、临终、葬仪、往生等用语,REGISTERED
SRC0259,教心寺寺报《サーサナ》,日本,真宗大谷派／名古屋,地方寺报,DISCOVERY,CP2,,AP2,至少2007-12－现在；2025年第69号,地方机关刊；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0260,万行寺寺报,日本,本愿寺派／长野・佐久,地方寺报,DISCOVERY,CP2,,AP1,创刊年Unknown；2022年第128号，2026年第177号,原寺报→note抽取再刊；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0261,常髙寺寺报《あまね》,日本,本愿寺派／爱媛・今治,地方寺报,DISCOVERY,CP2,,AP1,约2020－现在,官网保存第1号起PDF；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0262,《顺光寺だより》,日本,本愿寺派／岛根・松江,地方寺报,DISCOVERY,CP2,,AP1,2015-12-01－现在,历号与PDF完整；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0263,极乐寺寺报《安心》,日本,浄土宗西山禅林寺派／岐阜,地方寺报,DISCOVERY,CP1,,AP2,至少2016－现在,主题含往生・安心・念佛；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
