repo_source_id,t01_source_id,source_name,note
SRC0006,SRC0001,净土论,T01 编号与 repo 试点编号冲突，已改配新 repo 编号
SRC0007,SRC0002,往生西方净土瑞应传,T01 编号与 repo 试点编号冲突，已改配新 repo 编号
SRC0008,SRC0003,往生西方净土瑞应删传,T01 编号与 repo 试点编号冲突，已改配新 repo 编号
SRC0009,SRC0004,往生净土传（唐飞锡，五卷）,T01 编号与 repo 试点编号冲突，已改配新 repo 编号
SRC0010,SRC0005,并州往生记,T01 编号与 repo 试点编号冲突，已改配新 repo 编号
SRC0011,SRC0006,往生西方略传（宋遵式）,
SRC0012,SRC0007,往生净土略传（宋清月）,
SRC0013,SRC0008,净土往生传（宋戒珠）,
SRC0014,SRC0009,新修净土往生传／新修往生传（宋王古）,
SRC0015,SRC0010,新编古今往生净土宝珠集,
SRC0016,SRC0011,净土往生传（南宋海印，十二卷）,
SRC0017,SRC0012,随愿往生集／新编随愿往生集,
SRC0018,SRC0013,东林十八高贤传,
SRC0019,SRC0014,龙舒增广净土文,
SRC0020,SRC0015,乐邦文类,
SRC0021,SRC0016,乐邦遗稿,
SRC0022,SRC0017,庐山莲宗宝鉴,
SRC0023,SRC0018,诸上善人咏,
SRC0024,SRC0019,往生集（明袾宏）,
SRC0025,SRC0020,净土晨钟,
SRC0026,SRC0021,西归直指,
SRC0027,SRC0022,西舫汇征,
SRC0001,SRC0023,净土圣贤录,M2 试点来源（见 M1_SOURCE_SHORTLIST_LOCKED.md，2026-09-16 锁定）；保留现行 repo 编号
SRC0028,SRC0024,染香集,
SRC0029,SRC0025,净土圣贤录续编,
SRC0030,SRC0026,种莲集,
SRC0031,SRC0027,修西闻见录,
SRC0032,SRC0028,居士传,
SRC0033,SRC0029,善女人传,
SRC0034,SRC0030,法华经显应录,
SRC0035,SRC0031,名僧传,
SRC0036,SRC0032,名僧传抄,
SRC0037,SRC0033,高僧传,
SRC0038,SRC0034,比丘尼传,
SRC0039,SRC0035,续高僧传,
SRC0040,SRC0036,宋高僧传,
SRC0041,SRC0037,新修科分六学僧传,
SRC0042,SRC0038,大明高僧传,
SRC0043,SRC0039,补续高僧传,
SRC0044,SRC0040,高僧摘要,
SRC0045,SRC0041,佛祖统纪,
SRC0046,SRC0042,佛祖历代通载,
SRC0047,SRC0043,释氏稽古略,
SRC0048,SRC0044,神僧传,
SRC0049,SRC0045,法苑珠林,
SRC0050,SRC0046,冥祥记,
SRC0051,SRC0047,集神州三宝感通录,
SRC0052,SRC0048,三宝感应要略录,
SRC0053,SRC0049,冥报记,
SRC0054,SRC0050,释门自镜录,
SRC0055,SRC0051,现果随录,
SRC0056,SRC0052,见闻录（智旭）,
SRC0057,SRC0053,六道集,
SRC0058,SRC0054,太平广记,
SRC0059,SRC0055,近代往生传,
SRC0060,SRC0056,净土圣贤录三编,
SRC0061,SRC0057,净业月刊,
SRC0062,SRC0058,净土宗月刊,
SRC0063,SRC0059,弘化月刊,
SRC0064,SRC0060,佛学半月刊,
SRC0065,SRC0061,海潮音,
SRC0066,SRC0062,世界佛教居士林林刊,
SRC0067,SRC0063,佛学丛报,
SRC0068,SRC0064,佛教月报,
SRC0069,SRC0065,觉社丛书,
SRC0070,SRC0066,弘法月刊,
SRC0071,SRC0067,觉有情,
SRC0072,SRC0068,妙法轮,
SRC0073,SRC0069,佛教日报,
SRC0074,SRC0070,中国佛教会会报／中国佛教会月刊,
SRC0075,SRC0071,念佛感应见闻记,possible_duplicate_of:SRC0304
SRC0076,SRC0072,菩提树／Bodhedrum,possible_duplicate_of:SRC0314
SRC0077,SRC0073,慈光半月刊,
SRC0078,SRC0074,明伦月刊,possible_duplicate_of:SRC0313
SRC0079,SRC0075,近代往生随闻录,possible_duplicate_of:SRC0307
SRC0080,SRC0076,现代往生见闻录（第一、二集）,possible_duplicate_of:SRC0306
SRC0081,SRC0077,当代往生见闻纪实,
SRC0082,SRC0078,e世纪往生传,possible_duplicate_of:SRC0308
SRC0083,SRC0079,新世代念佛往生录,possible_duplicate_of:SRC0309
SRC0084,SRC0080,莲池海会念佛往生见闻记,possible_duplicate_of:SRC0312
SRC0085,SRC0081,不可思议之念佛功德——黄锡勋医师的生平与往生经过,
SRC0086,SRC0082,念佛感应记（林慈超）,possible_duplicate_of:SRC0305
SRC0087,SRC0083,遇见弥陀：学佛感应记,
SRC0088,SRC0084,笑着进入七宝池,
SRC0089,SRC0085,癌细胞变快乐佛细胞,
SRC0090,SRC0086,念佛感应录 第一集,possible_duplicate_of:SRC0302
SRC0091,SRC0087,念佛感应录 第二集,possible_duplicate_of:SRC0302
SRC0092,SRC0088,念佛感应录 第三集,possible_duplicate_of:SRC0302
