repo_source_id,source_name,aliases,t01_section,region,language,source_type,role,collection_priority,automation_priority,date_or_range,notes,registry_status,review_status,url
SRC0001,净土圣贤录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pilot_mapped,
SRC0002,当代念佛感应集,,T01-2 Part 2C｜中国大陆1949后／改革开放后纸本来源,,,,,,,,,FORMAL_SELECTED,pilot_mapped,
SRC0003,净土宗官方网站（中华净土宗协会／净土宗文教基金会）,,T01-2 Part 3｜中文互联网／寺院／莲社／助念团／投稿平台,,,,,,,,,FORMAL_SELECTED,pilot_mapped,
SRC0004,净土宗 Pure Land Buddhism Southeast Asia,,T01-2 Part 3B｜中文网站长尾／地方助念团／迁移与失效网站,,,,,,,,,FORMAL_SELECTED,pilot_mapped,
SRC0005,Purelanders.com 现代 Pure Land testimonials / support-chanting 系列,Purelanders.com — Testimonies / PPF Testimonies,,新加坡／英语世界,,现代英文往生/助念见证系列,CORE case channel / DISCOVERY site,CP1,AP1,至少2011前后持续；现代testimonial编号已至[123]以上,tradition_or_context=沈时安／净行会体系 | cp_at_registration=CP1 | cp_current=CP1 | key_note: 不少由家属/参与者直接撰写，涉及医院、安宁疗护、临终助念与遗体瑞相 | possible_duplicate_of:SRC0334 | alias_of_t01:SRC0334; dedup_confirmed:owner 2026-09-21 | 吸收 SRC0334 记录：大型英文净土 testimonies / 感应集合,REGISTERED,pilot_mapped,
SRC0006,净土论,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0007,往生西方净土瑞应传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0008,往生西方净土瑞应删传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0009,往生净土传（唐飞锡，五卷）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,佚失／目录著录,FORMAL_SELECTED,pending_review,
SRC0010,并州往生记,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,佚失／引文残存,FORMAL_SELECTED,pending_review,
SRC0011,往生西方略传（宋遵式）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,佚失,FORMAL_SELECTED,pending_review,
SRC0012,往生净土略传（宋清月）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,佚失,FORMAL_SELECTED,pending_review,
SRC0013,净土往生传（宋戒珠）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0014,新修净土往生传／新修往生传（宋王古）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0015,新编古今往生净土宝珠集,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0016,净土往生传（南宋海印，十二卷）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,佚失,FORMAL_SELECTED,pending_review,
SRC0017,随愿往生集／新编随愿往生集,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,中国本土散佚／残存影响材料,FORMAL_SELECTED,pending_review,
SRC0018,东林十八高贤传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0019,龙舒增广净土文,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0020,乐邦文类,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0021,乐邦遗稿,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0022,庐山莲宗宝鉴,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0023,诸上善人咏,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0024,往生集（明袾宏）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0025,净土晨钟,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0026,西归直指,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0027,西舫汇征,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0028,染香集,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0029,净土圣贤录续编,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0030,种莲集,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0031,修西闻见录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0032,居士传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0033,善女人传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0034,法华经显应录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0035,名僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,原书佚失,FORMAL_SELECTED,pending_review,
SRC0036,名僧传抄,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0037,高僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0038,比丘尼传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0039,续高僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0040,宋高僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0041,新修科分六学僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0042,大明高僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0043,补续高僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0044,高僧摘要,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0045,佛祖统纪,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0046,佛祖历代通载,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0047,释氏稽古略,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0048,神僧传,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0049,法苑珠林,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0050,冥祥记,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,残缺／重辑传承,FORMAL_SELECTED,pending_review,
SRC0051,集神州三宝感通录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0052,三宝感应要略录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0053,冥报记,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0054,释门自镜录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0055,现果随录,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0056,见闻录（智旭）,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0057,六道集,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0058,太平广记,,T01-2 Part 1｜中国古代文献来源池,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0059,近代往生传,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0060,净土圣贤录三编,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0061,净业月刊,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0062,净土宗月刊,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0063,弘化月刊,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0064,佛学半月刊,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
SRC0065,海潮音,,T01-2 Part 2A｜民国中文纸本文献与佛教期刊,,,,,,,,,FORMAL_SELECTED,pending_review,
