article_id,source_id,source_item_key,source_entry_id,case_ids,title,canonical_url,language,published_date,content_type,discovery_status,selection_status,rights_review_id,rights_status,capture_status,boundary_status,pipeline_status,current_stage,last_run_id,machine_review_status,human_review_status,assigned_to,last_checked_at,notes
SRC0024-ART000001,SRC0024,卷上:沙門往生類:僧濟,ENT000009,CASE000010,僧濟,https://cbetaonline.dila.edu.tw/zh/T51n2072_001#:~:text=晉僧濟,zh-Hant,,book_entry,discovered,selected,RR0006,open_license_verified,verified,script_extracted,completed,,RUN-ENT000009-M2B-01-ENT000009-CAND0001,passed,not_reviewed,,2026-09-22,"M2B second batch: first entry from new source SRC0024 (往生集, Ming, CBETA T51n2072). Underlying work is public domain; CBETA electronic text is handled under CC BY-NC-SA 4.0. Subject 僧濟 (Jin dynasty, Lushan); distinct from all existing cases."
SRC0024-ART000002,SRC0024,卷上:往生集序,ENT000010,,往生集序,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:往生集序:92c2132a9346,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000003,SRC0024,卷上:沙門往生類:遠祖師,ENT000011,,遠祖師,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:遠祖師:ed3bf6f1a8c9,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000004,SRC0024,卷上:沙門往生類:慧永,ENT000012,,慧永,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:慧永:146a9a4fee5e,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000005,SRC0024,卷上:沙門往生類:曇順,ENT000013,,曇順,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:曇順:7768fcaea75a,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000006,SRC0024,卷上:沙門往生類:僧叡,ENT000014,,僧叡,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:僧叡:46a4b6724542,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000007,SRC0024,卷上:沙門往生類:曇恒,ENT000015,,曇恒,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:曇恒:27366857b4da,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000008,SRC0024,卷上:沙門往生類:道昞,ENT000016,,道昞,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:道昞:f4ad875bfb33,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000009,SRC0024,卷上:沙門往生類:曇詵,ENT000017,,曇詵,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:曇詵:b9a626a35e29,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000010,SRC0024,卷上:沙門往生類:道敬,ENT000018,,道敬,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷上:沙門往生類:道敬:6c4f2e4655ce,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
